sno,season,transect,tcode,eventDate,fielddate,tlength,verbatimIdentification,vernacularName,scientificName,taxonRank,taxonRemarks,verbatimCoordinateSystem,verbatimSRS,georeferenceRemarks,verbatimLongitude,verbatimLatitude,decimalLongitude,decimalLatitude,habitat,individualCount,occurrenceStatus,occurrenceRemarks
11,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,earthworm,Earthworm,Annelida,phylum,annelida,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718820,1145595,76.9984547444449,10.3572225461533,forest_tea,1,present,NA
12,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,earthworm,Earthworm,Annelida,phylum,annelida,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718875,1145352,76.9989429220927,10.3550229890351,forest_tea,1,present,NA
13,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718411,1146420,76.9947681469497,10.3647027761267,forest_tea,1,present,NA
14,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718785,1145711,76.9981418712114,10.3582730364402,forest_tea,1,present,NA
15,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718785,1145711,76.9981418712114,10.3582730364402,forest_tea,1,present,NA
16,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718710,1145926,76.9974695013044,10.3602206401779,forest_tea,1,present,NA
17,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,Indian crested porcupine,Indian crested porcupine,Hystrix indica,species,mammalia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718748,1145800,76.9978091922276,10.3590795913548,forest_tea,1,present,NA
18,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,snail,Snail,Gastropoda,class,mollusca,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718444,1146535,76.9950759926477,10.3657403752753,forest_tea,1,present,NA
19,monsoon,Balaji Temple,b2,2011-06-22,22/06/2011,6.7,snake,Snake,Squamata,order,reptilia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718608,1144524,76.996458143372,10.3475539478035,tea,1,present,NA
20,monsoon,Balaji Temple,b2,2011-06-22,22/06/2011,6.7,toad,Toad,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718478,1143036,76.995186461772,10.3341114665705,tea,1,present,NA
21,monsoon,Balaji Temple,b2,2011-06-22,22/06/2011,6.7,millipede,Millipede,Diplopoda,class,diplopoda,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718415,1146519,76.9948103278223,10.3655973964377,forest_tea,1,present,NA
22,monsoon,Balaji Temple,b2,2011-06-22,22/06/2011,6.7,millipede,Millipede,Diplopoda,class,diplopoda,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718781,1145716,76.9981056413181,10.3583184574575,forest_tea,1,present,NA
23,monsoon,Balaji Temple,b2,2011-06-22,22/06/2011,6.7,millipede,Millipede,Diplopoda,class,diplopoda,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718878,1145403,76.9989732299308,10.355483799745,forest_tea,1,present,NA
24,monsoon,Balaji Temple,b2,2011-06-22,22/06/2011,6.7,shield tail,Shieldtail,Uropeltidae,family,reptilia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718483,1146358,76.9954219057167,10.3641382883901,forest_tea,1,present,NA
25,monsoon,Balaji Temple,b2,2011-06-22,22/06/2011,6.7,snake,Snake,Squamata,order,reptilia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718700,1145878,76.9973754619011,10.3597873424848,forest_tea,1,present,NA
26,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718179,1143997,76.9925118462799,10.342814713168,eucalyptus,1,present,NA
27,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718142,1143954,76.9921716352027,10.3424281299086,eucalyptus,1,present,NA
28,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,caecilian,Caecilians,Gymnophiona,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718135,1143625,76.9920889829749,10.3394547315874,eucalyptus,1,present,NA
29,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,toad,Toad,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718124,1143729,76.9919944956782,10.3403953965272,eucalyptus,1,present,NA
30,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,frog/toad,Frog or toad,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718852,1145041,76.9987151489714,10.3522132133214,eucalyptus_tea,1,present,NA
31,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718806,1144856,76.9982846325523,10.3505436340791,tea,1,present,NA
32,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718775,1144793,76.9979980340255,10.3499759430986,tea,1,present,NA
33,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718392,1144184,76.9944669193275,10.3444929506578,tea,1,present,NA
34,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,slug,Slug,Gastropoda,class,mollusca,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718770,1144953,76.997961544989,10.3514224420331,tea,1,present,NA
35,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,frog/toad,Frog or toad,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718458,1143499,76.9950303098792,10.3382975941555,tea,1,present,NA
36,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,slug,Slug,Gastropoda,class,mollusca,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718715,1142769,76.9973346390515,10.331684695964,tea,1,present,NA
37,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718881,1145302,76.9989948322384,10.354570706796,forest,1,present,NA
38,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718882,1145300,76.9990038466408,10.3545525724105,forest,1,present,NA
39,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,earthworm,Earthworm,Annelida,phylum,annelida,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718403,1146441,76.9946963141698,10.3648930452612,forest_tea,1,present,NA
40,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,earthworm,Earthworm,Annelida,phylum,annelida,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718578,1146212,76.9962808258483,10.3628132328136,forest_tea,1,present,NA
41,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,earthworm,Earthworm,Annelida,phylum,annelida,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718717,1145936,76.9975339777254,10.3603106317725,forest_tea,1,present,NA
42,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718381,1146718,76.9945113167078,10.3673980550487,forest_tea,1,present,NA
43,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718457,1146646,76.9952010256833,10.3667429515979,forest_tea,1,present,NA
44,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718422,1146410,76.9948679967232,10.3646117644958,forest_tea,1,present,NA
45,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718543,1146265,76.9959643371734,10.3632942753703,forest_tea,1,present,NA
46,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718877,1145319,76.9989592900524,10.3547245938991,forest_tea,1,present,NA
47,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,millipede,Millipede,Diplopoda,class,diplopoda,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718582,1146201,76.9963167129968,10.3627135787663,forest_tea,1,present,NA
48,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,toad,Toad,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718422,1146410,76.9948679967232,10.3646117644958,forest_tea,1,present,NA
49,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,toad,Toad,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718513,1146291,76.9956919486197,10.36353098544,forest_tea,1,present,NA
50,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,toad,Toad,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718549,1146262,76.9960189407496,10.3632668188111,forest_tea,1,present,NA
51,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,toad,Toad,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718748,1145800,76.9978091922276,10.3590795913548,forest_tea,1,present,NA
52,monsoon,Balaji Temple,b3,2011-06-23,23/06/2011,6.7,ui,Animals,Animalia,kingdom,ui,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718490,1146356,76.9954856959538,10.3641198140852,forest_tea,1,present,NA
53,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,millipede,Millipede,Diplopoda,class,diplopoda,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718140,1143623,76.9921345117253,10.3394363716712,eucalyptus,1,present,NA
54,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,moth,Moth,Lepidoptera,order,insecta,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718141,1143957,76.9921626775915,10.3424553030088,eucalyptus,1,present,NA
55,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,snail,Snail,Gastropoda,class,mollusca,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718792,1145011,76.9981656992419,10.3519454485558,eucalyptus_tea,1,present,NA
56,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,earthworm,Earthworm,Annelida,phylum,annelida,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718254,1143638,76.9931760208015,10.3395655202752,tea,1,present,NA
57,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,snail,Snail,Gastropoda,class,mollusca,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718274,1143656,76.9933596181021,10.3397270908685,tea,1,present,NA
58,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,snail,Snail,Gastropoda,class,mollusca,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718466,1143513,76.9951041367941,10.3384236862963,tea,1,present,NA
59,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,crab,Crabs,Decapoda,order,crustacea,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718776,1144784,76.9980066478967,10.3498945368131,tea,1,present,NA
60,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718776,1144795,76.9980072772751,10.3499939641424,tea,1,present,NA
61,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,millipede,Millipede,Diplopoda,class,diplopoda,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718734,1144692,76.9976179750114,10.3490653417233,tea,1,present,NA
62,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,caecilian,Caecilian,Gymnophiona,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718503,1142854,76.9954042883948,10.3324649796486,tea,1,present,NA
63,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,moth,Moth,Lepidoptera,order,insecta,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718602,1142903,76.9963107888017,10.3329022909488,tea,1,present,NA
64,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,snail,Snail,Gastropoda,class,mollusca,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718449,1142806,76.9949086214073,10.332034163407,tea,1,present,NA
65,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,snail,Snail,Gastropoda,class,mollusca,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718675,1142781,76.9969701923263,10.3317954235066,tea,1,present,NA
66,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,wasp,Wasp,Hymenoptera,order,insecta,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718889,1145263,76.999065630193,10.354217738394,forest,1,present,NA
67,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,caecilian,Caecilian,Gymnophiona,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718458,1146649,76.9952103266939,10.3667700114968,forest_tea,1,present,NA
68,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,caterpillar,Caterpillar,Lepidoptera,order,insecta,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718836,1145576,76.9985997206165,10.3570499008742,forest_tea,1,present,NA
69,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,earthworm,Earthworm,Annelida,phylum,annelida,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718423,1146706,76.994894062256,10.3672872093573,forest_tea,1,present,NA
70,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,earthworm,Earthworm,Annelida,phylum,annelida,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718721,1145945,76.9975710095609,10.3603917545928,forest_tea,1,present,NA
71,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718401,1146470,76.9946797146101,10.3651552854239,forest_tea,1,present,NA
72,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718695,1145889,76.9973304461599,10.3598870532296,forest_tea,1,present,NA
73,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718737,1145822,76.9977100320485,10.359279069578,forest_tea,1,present,NA
74,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,grasshopper,Grasshopper,Orthoptera,order,insecta,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718879,1145452,76.9989851654616,10.3559266461701,forest_tea,1,present,NA
75,monsoon,Balaji Temple,b4,2011-08-11,11/08/2011,6.7,snail,Snail,Gastropoda,class,mollusca,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718447,1146610,76.995107672329,10.3664181194462,forest_tea,1,present,NA
76,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,pill millipede,Pill millipede,Diplopoda,class,diplopoda,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718306,1143682,76.9936532144661,10.3399602946661,tea,1,present,NA
77,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,caecilian,Caecilian,Gymnophiona,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718771,1144768,76.9979600883969,10.3497501984949,tea,1,present,NA
78,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718455,1144419,76.9950554460299,10.3466135229583,tea,1,present,NA
79,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718598,1144509,76.9963659984845,10.347418930867,tea,1,present,NA
80,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718817,1144873,76.9983860226217,10.3506966711416,tea,1,present,NA
81,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,toad,Toad,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718776,1144788,76.9980068767609,10.3499306922056,tea,1,present,NA
82,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,caecilian,Caecilian,Gymnophiona,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718855,1142706,76.9986090003376,10.3311073307296,tea,1,present,NA
83,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718564,1143079,76.9959739557602,10.3344952790774,tea,1,present,NA
84,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,snail,Snail,Gastropoda,class,mollusca,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718637,1142794,76.9966240589543,10.3319150765194,tea,1,present,NA
85,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,toad,Toad,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718501,1142856,76.995386145829,10.3324831703611,tea,1,present,NA
86,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,shield tail,Shieldtail,Uropeltidae,family,reptilia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718423,1146408,76.9948770115623,10.3645936301386,forest_tea,1,present,NA
87,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,snail,Snail,Gastropoda,class,mollusca,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718446,1146611,76.9950986002462,10.3664272149602,forest_tea,1,present,NA
88,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,snail,Snail,Gastropoda,class,mollusca,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718423,1146706,76.994894062256,10.3672872093573,forest_tea,1,present,NA
89,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,toad,Toad,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718404,1146483,76.994707846136,10.365272620654,forest_tea,1,present,NA
90,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,toad,Toad,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718441,1146698,76.9950579324433,10.3672138786372,forest_tea,1,present,NA
91,monsoon,Balaji Temple,b5,2011-08-23,23/08/2011,6.7,toad,Toad,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718889,1145116,76.9990572119733,10.3528890288755,tea,1,present,NA
92,monsoon,Balaji Temple,b6,2011-08-31,31/08/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718115,1143806,76.991916726745,10.3410918986863,eucalyptus,1,present,NA
93,monsoon,Balaji Temple,b6,2011-08-31,31/08/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718130,1143865,76.9920570185017,10.3416243464423,eucalyptus,1,present,NA
