transect,verbatimroute,sno,canopycover,canopyoverlap,verticaloverlap,habcode,habno,longitude,latitude
Puthuthotam,puthuthottam,63,1,1,1,ff,3,76.969242,10.342848
Puthuthotam,puthuthottam,64,1,2,2,ff,3,76.969134,10.343047
Puthuthotam,puthuthottam,65,1,1,0,ff,3,76.969112,10.343262
Puthuthotam,puthuthottam,66,1,2,2,ff,3,76.96923,10.343437
Puthuthotam,puthuthottam,67,1,1,1,ff,3,76.969343,10.34363
Puthuthotam,puthuthottam,68,1,1,1,ff,3,76.9694,10.343834
Puthuthotam,puthuthottam,69,1,2,2,ff,3,76.969377,10.344058
Puthuthotam,puthuthottam,70,1,1,2,ff,3,76.969371,10.344283
Puthuthotam,puthuthottam,71,1,1,0,ff,3,76.969375,10.344458
Puthuthotam,puthuthottam,72,1,1,1,ff,3,76.96945,10.344638
Puthuthotam,puthuthottam,73,1,1,1,ff,3,76.96967,10.344693
Puthuthotam,puthuthottam,74,1,2,2,ff,3,76.969812,10.34486
Puthuthotam,puthuthottam,75,1,1,0,ff,3,76.969931,10.345052
Puthuthotam,puthuthottam,76,1,1,2,ff,3,76.970068,10.345229
Puthuthotam,puthuthottam,77,1,1,2,ff,3,76.970266,10.345311
Puthuthotam,puthuthottam,78,1,1,0,ff,3,76.970491,10.345311
Puthuthotam,puthuthottam,79,1,1,0,ff,3,76.970589,10.345135
Puthuthotam,puthuthottam,80,1,1,1,ff,3,76.970657,10.344926
Puthuthotam,puthuthottam,81,1,1,1,ff,3,76.97082,10.344774
Puthuthotam,puthuthottam,82,1,2,2,ff,3,76.971018,10.344666
Puthuthotam,puthuthottam,83,1,1,1,ff,3,76.971233,10.344658
Puthuthotam,puthuthottam,84,1,1,0,ff,3,76.971354,10.344639
Puthuthotam,puthuthottam,85,1,1,0,ff,3,76.971506,10.344807
Puthuthotam,puthuthottam,86,1,1,0,ff,3,76.971655,10.344978
Puthuthotam,puthuthottam,87,1,1,0,ft,2,76.971843,10.345093
Puthuthotam,puthuthottam,88,1,1,1,ft,2,76.97207,10.345094
Puthuthotam,puthuthottam,89,0,0,0,ft,2,76.972293,10.345047
Puthuthotam,puthuthottam,90,0,0,0,ft,2,76.972511,10.344983
Puthuthotam,puthuthottam,91,0,0,0,ft,2,76.972728,10.345035
Puthuthotam,puthuthottam,92,0,0,0,ft,2,76.972904,10.345176
Puthuthotam,puthuthottam,93,0,0,0,ft,2,76.972911,10.345397
Puthuthotam,puthuthottam,94,0,0,0,ft,2,76.972906,10.345621
Puthuthotam,puthuthottam,95,1,1,0,ft,2,76.972835,10.345835
Puthuthotam,puthuthottam,96,1,1,0,ft,2,76.972805,10.346058
Puthuthotam,puthuthottam,97,1,1,0,ft,2,76.97281,10.346284
Puthuthotam,puthuthottam,98,1,1,0,ft,2,76.972828,10.346509
Puthuthotam,puthuthottam,99,0,0,0,ft,2,76.972827,10.346682
Puthuthotam,puthuthottam,100,1,2,1,ft,2,76.97282,10.346907
Puthuthotam,puthuthottam,101,1,2,1,ft,2,76.972794,10.347131
Puthuthotam,puthuthottam,102,1,2,1,ft,2,76.972771,10.347344
Puthuthotam,puthuthottam,103,0,0,0,ft,2,76.972659,10.347535
Puthuthotam,puthuthottam,104,0,0,0,tt,1,76.972687,10.347756
Puthuthotam,puthuthottam,105,0,0,0,tt,1,76.972702,10.34798
Puthuthotam,puthuthottam,106,0,0,0,tt,1,76.972733,10.348204
Puthuthotam,puthuthottam,107,0,0,0,tt,1,76.972864,10.34838
Puthuthotam,puthuthottam,108,0,0,0,tt,1,76.972922,10.348595
Puthuthotam,puthuthottam,109,0,0,0,tt,1,76.97291,10.34882
Puthuthotam,puthuthottam,110,0,0,0,tt,1,76.972911,10.349045
Puthuthotam,puthuthottam,111,0,0,0,tt,1,76.972885,10.349268
Puthuthotam,puthuthottam,112,0,0,0,tt,1,76.97282,10.349481
Puthuthotam,puthuthottam,113,0,0,0,tt,1,76.972779,10.349702
Puthuthotam,puthuthottam,114,0,0,0,tt,1,76.972742,10.349925
Puthuthotam,puthuthottam,115,0,0,0,tt,1,76.972742,10.35015
Puthuthotam,puthuthottam,116,0,0,0,tt,1,76.972747,10.350376
Puthuthotam,puthuthottam,117,0,0,0,tt,1,76.972756,10.350602
Puthuthotam,puthuthottam,118,0,0,0,tt,1,76.972757,10.350828
Puthuthotam,puthuthottam,119,0,0,0,tt,1,76.972711,10.351048
Puthuthotam,puthuthottam,120,0,0,0,tt,1,76.972592,10.351238
Puthuthotam,puthuthottam,121,0,0,0,tt,1,76.972432,10.351399
Puthuthotam,puthuthottam,122,0,0,0,tt,1,76.97228,10.351565
Puthuthotam,puthuthottam,123,0,0,0,tt,1,76.972187,10.35177
Puthuthotam,puthuthottam,124,1,1,0,tt,1,76.972254,10.351983
Puthuthotam,puthuthottam,125,1,1,0,tt,1,76.972309,10.352198
Puthuthotam,puthuthottam,126,0,0,0,tt,1,76.972263,10.352418
Puthuthotam,puthuthottam,127,0,0,0,tt,1,76.972172,10.352624
Puthuthotam,puthuthottam,128,0,0,0,tt,1,76.972081,10.352831
Puthuthotam,puthuthottam,129,0,0,0,tt,1,76.972018,10.353047
Puthuthotam,puthuthottam,130,0,0,0,tt,1,76.972065,10.353266
Puthuthotam,puthuthottam,131,0,0,0,tt,1,76.972201,10.353444
Puthuthotam,puthuthottam,132,0,0,0,tt,1,76.972374,10.353591
Puthuthotam,puthuthottam,133,0,0,0,tt,1,76.972529,10.353754
Puthuthotam,puthuthottam,134,0,0,0,tt,1,76.972643,10.353949
Puthuthotam,puthuthottam,135,0,0,0,tt,1,76.97274,10.354147
Puthuthotam,puthuthottam,136,0,0,0,tt,1,76.972644,10.354346
Puthuthotam,puthuthottam,137,0,0,0,tt,1,76.972551,10.354551
Puthuthotam,puthuthottam,138,0,0,0,tt,1,76.972507,10.354773
Puthuthotam,puthuthottam,139,0,0,0,tt,1,76.972466,10.354992
Puthuthotam,puthuthottam,140,0,0,0,tt,1,76.97249,10.355211
Puthuthotam,puthuthottam,141,0,0,0,tt,1,76.97247,10.355435
Puthuthotam,puthuthottam,142,0,0,0,tt,1,76.972507,10.355625
Puthuthotam,puthuthottam,143,0,0,0,tt,1,76.972546,10.355846
Puthuthotam,puthuthottam,144,0,0,0,tt,1,76.972513,10.356069
Puthuthotam,puthuthottam,145,0,0,0,tt,1,76.972498,10.356293
Puthuthotam,puthuthottam,146,0,0,0,tt,1,76.972478,10.356517
Puthuthotam,puthuthottam,147,0,0,0,tt,1,76.972491,10.356743
Puthuthotam,puthuthottam,148,0,0,0,tt,1,76.972501,10.356969
Waterfalls,water to at,1,1,1,0,tf,2,76.989705,10.4246135
Waterfalls,water to at,2,1,1,0,tf,2,76.9895472273,10.4247677074
Waterfalls,water to at,3,1,1,0,tf,2,76.9894421358,10.4249682001
Waterfalls,water to at,4,1,1,0,tf,2,76.9893417526,10.4251709805
Waterfalls,water to at,5,1,1,0,tf,2,76.9892312746,10.425368594
Waterfalls,water to at,6,1,1,0,tf,2,76.9891161621,10.4255634821
Waterfalls,water to at,7,1,1,0,tf,2,76.9890033478,10.4257594352
Waterfalls,water to at,8,0,0,0,tf,2,76.9889166992,10.4259673891
Waterfalls,water to at,9,1,2,1,tf,2,76.9888609907,10.4261858205
Waterfalls,water to at,10,1,1,1,ff,3,76.9888125785,10.4264053211
Waterfalls,water to at,11,1,1,1,ff,3,76.9887189266,10.4266113509
Waterfalls,water to at,12,1,1,0,ff,3,76.9886459002,10.4268252866
Waterfalls,water to at,13,0,0,0,ff,3,76.9885599974,10.4270345116
Waterfalls,water to at,14,0,0,0,ff,3,76.9884665517,10.427240685
Waterfalls,water to at,15,0,0,0,ff,3,76.9883988464,10.4274564288
Waterfalls,water to at,16,1,1,0,ff,3,76.9883358096,10.4276731344
Waterfalls,water to at,17,0,0,0,ff,3,76.9883017749,10.4278964436
Waterfalls,water to at,18,0,0,0,ff,3,76.9882366438,10.4281112475
Waterfalls,water to at,19,0,0,0,ff,3,76.9881484744,10.4283194571
Waterfalls,water to at,20,1,1,0,ff,3,76.9880672113,10.4285306236
Waterfalls,water to at,21,0,0,0,ff,3,76.9879754288,10.4287369406
Waterfalls,water to at,22,0,0,0,ff,3,76.9879283299,10.4289574512
Waterfalls,water to at,23,1,1,0,ff,3,76.987916857,10.4291825203
Waterfalls,water to at,24,1,1,1,ff,3,76.987894836,10.4294056518
Waterfalls,water to at,25,0,0,0,ff,3,76.9879166363,10.4296301353
Waterfalls,water to at,26,0,0,0,ff,3,76.9878970865,10.4298549606
Waterfalls,water to at,27,0,0,0,ff,3,76.9878550446,10.4300769038
Waterfalls,water to at,28,0,0,0,ff,3,76.9877955741,10.4302948013
Waterfalls,water to at,29,1,1,0,ff,3,76.9877047994,10.4305020234
Waterfalls,water to at,30,1,1,1,ff,3,76.987568503,10.43068192
Waterfalls,water to at,31,1,1,0,ff,3,76.9874070344,10.4308414427
Waterfalls,water to at,32,0,0,0,ff,3,76.9872625992,10.4310150965
Waterfalls,water to at,33,1,1,0,ff,3,76.9870903389,10.4311631952
Waterfalls,water to at,34,1,1,0,ff,3,76.9868895157,10.431270199
Waterfalls,water to at,35,1,3,3,ff,3,76.9867211087,10.4314154141
Waterfalls,water to at,36,1,3,3,ff,3,76.9865940324,10.4316027922
Waterfalls,water to at,37,1,1,0,ff,3,76.9864253649,10.4317056172
Waterfalls,water to at,38,1,2,1,ff,3,76.9862220394,10.4316042203
Waterfalls,water to at,39,1,0,0,ff,3,76.9860619886,10.4314506917
Waterfalls,water to at,40,1,1,0,ff,3,76.985931368,10.4312684681
Waterfalls,water to at,41,1,2,2,ff,3,76.9857292384,10.4311903759
Waterfalls,water to at,42,0,0,0,ff,3,76.9855211956,10.4312834067
Waterfalls,water to at,43,0,0,0,ff,3,76.9853178246,10.4313802725
Waterfalls,water to at,44,0,0,0,ff,3,76.9850976057,10.4314397847
Waterfalls,water to at,45,0,0,0,ff,3,76.9848761287,10.4314941999
Waterfalls,water to at,46,1,1,0,ff,3,76.9846776433,10.4315994841
Waterfalls,water to at,47,0,0,0,ff,3,76.9844821252,10.4317115654
Waterfalls,water to at,48,1,1,1,ff,3,76.9842629319,10.4316855879
Waterfalls,water to at,49,1,1,0,ff,3,76.9840778377,10.4315595992
Waterfalls,water to at,50,0,0,0,ff,3,76.9839449033,10.4314663159
Waterfalls,water to at,51,1,1,0,ff,3,76.984008158,10.4316826574
Waterfalls,water to at,52,0,0,0,ff,3,76.9841234721,10.43187537
Waterfalls,water to at,53,0,0,0,ff,3,76.9843214646,10.4319781727
Waterfalls,water to at,54,0,0,0,ff,3,76.9845485946,10.4319793416
Waterfalls,water to at,55,1,1,0,ff,3,76.984773821,10.4319432623
Waterfalls,water to at,56,1,1,0,ff,3,76.9849989867,10.4319090702
Waterfalls,water to at,57,0,0,0,ff,3,76.9852250782,10.4318941973
Waterfalls,water to at,58,0,0,0,ff,3,76.9854393024,10.431817269
Waterfalls,water to at,59,1,1,0,ff,3,76.9856596837,10.4317837562
Waterfalls,water to at,60,1,1,0,ff,3,76.9858251858,10.4319287536
Waterfalls,water to at,61,1,1,0,ff,3,76.9859197704,10.4321321085
Waterfalls,water to at,62,1,1,0,ff,3,76.9859682358,10.4323526151
Waterfalls,water to at,63,1,2,1,ff,3,76.9860441359,10.4325655525
Waterfalls,water to at,64,1,2,1,ff,3,76.9860994898,10.4327847679
Waterfalls,water to at,65,1,1,0,ff,3,76.9861690762,10.4329993696
Waterfalls,water to at,66,1,1,0,ff,3,76.9862899313,10.4331893234
Waterfalls,water to at,67,1,1,1,ff,3,76.9865028529,10.4332132756
Waterfalls,water to at,68,1,1,0,ff,3,76.9866826672,10.4330743406
Waterfalls,water to at,69,0,0,0,ff,3,76.9868373895,10.4329116659
Waterfalls,water to at,70,1,2,1,ff,3,76.9869875043,10.4327426687
Waterfalls,water to at,71,1,2,1,ff,3,76.9871594227,10.4326085723
Waterfalls,water to at,72,1,3,2,ff,3,76.9872717759,10.4324183317
Waterfalls,water to at,73,1,2,1,ff,3,76.987482913,10.4323355906
Waterfalls,water to at,74,0,0,0,ff,3,76.9876133828,10.4321598037
Waterfalls,water to at,75,0,0,0,ff,3,76.9877491313,10.4319949421
Waterfalls,water to at,76,0,0,0,ff,3,76.9876629546,10.4321875398
Waterfalls,water to at,77,1,1,0,ff,3,76.9875881893,10.4323973895
Waterfalls,water to at,78,1,2,1,ff,3,76.9874041249,10.4325240528
Waterfalls,water to at,79,0,0,0,ff,3,76.9872523403,10.4326902707
Waterfalls,water to at,80,1,1,0,ff,3,76.9870742541,10.4328312535
Waterfalls,water to at,81,0,0,0,ff,3,76.9870487393,10.4329702587
Waterfalls,water to at,82,0,0,0,ff,3,76.9872532,10.4328712357
Waterfalls,water to at,83,0,0,0,ff,3,76.9874450558,10.4327551834
Waterfalls,water to at,84,0,0,0,ff,3,76.987628744,10.4326219012
Waterfalls,water to at,85,1,1,0,ff,3,76.9876662434,10.4326853766
Waterfalls,water to at,86,0,0,0,ff,3,76.987478245,10.4328135412
Waterfalls,water to at,87,1,1,0,ff,3,76.9873125364,10.4329669791
Waterfalls,water to at,88,1,1,0,ff,3,76.98714437,10.4331157539
Waterfalls,water to at,89,1,2,1,ff,3,76.9869758062,10.4332626662
Waterfalls,water to at,90,1,1,1,ff,3,76.9868460451,10.4334481085
Waterfalls,water to at,91,1,1,1,ff,3,76.9867017053,10.4336230759
Waterfalls,water to at,92,1,1,1,ff,3,76.9865453031,10.433787632
Waterfalls,water to at,93,0,0,0,ff,3,76.9863739885,10.4339305344
Waterfalls,water to at,94,0,0,0,ff,3,76.9861741281,10.4340388206
Waterfalls,water to at,95,0,0,0,ff,3,76.9860569496,10.4341791783
Waterfalls,water to at,96,1,1,0,ff,3,76.9862315749,10.4340936131
Waterfalls,water to at,97,0,0,0,ff,3,76.9864431546,10.4340154609
Waterfalls,water to at,98,1,3,3,ff,3,76.9866619667,10.4339687333
Waterfalls,water to at,99,1,1,0,ff,3,76.9868563747,10.433853897
Waterfalls,water to at,100,1,1,0,ff,3,76.9870017835,10.4336805287
Waterfalls,water to at,101,0,0,0,ff,3,76.9871809477,10.4335426398
Waterfalls,water to at,102,1,1,0,ff,3,76.9873852291,10.4334537518
Waterfalls,water to at,103,1,1,1,ff,3,76.987611942,10.4334717916
Waterfalls,water to at,104,1,2,1,ff,3,76.9878380814,10.4334541003
Waterfalls,water to at,105,1,1,1,ff,3,76.9879703584,10.433293071
Waterfalls,water to at,106,1,3,2,ff,3,76.9880938367,10.4331043933
Waterfalls,water to at,107,1,2,1,ff,3,76.9882457451,10.432936904
Waterfalls,water to at,108,1,2,1,ff,3,76.9883445569,10.4327332994
Waterfalls,water to at,109,1,1,0,ff,3,76.9884002231,10.4325143495
Waterfalls,water to at,110,1,1,0,ff,3,76.9885153867,10.4323215207
Waterfalls,water to at,111,0,0,0,ff,3,76.9886763422,10.4321617245
Waterfalls,water to at,112,0,0,0,ff,3,76.988797396,10.4319738265
Waterfalls,water to at,113,0,0,0,ff,3,76.9889036571,10.4319009376
Waterfalls,water to at,114,1,1,1,ff,3,76.9888681159,10.4321222831
Waterfalls,water to at,115,1,1,0,ff,3,76.988855462,10.4323457504
Waterfalls,water to at,116,1,1,0,ff,3,76.9889462664,10.4325509151
Waterfalls,water to at,117,1,3,3,ff,3,76.9890773176,10.4327338092
Waterfalls,water to at,118,1,2,2,ff,3,76.9892324899,10.4328950968
Waterfalls,water to at,119,1,1,0,ff,3,76.9893106171,10.4331049446
Waterfalls,water to at,120,1,1,0,ff,3,76.9893454559,10.4333009918
Waterfalls,water to at,121,1,1,0,ff,3,76.9893989106,10.4335205778
Waterfalls,water to at,122,1,1,0,ff,3,76.9894501543,10.4337406505
Waterfalls,water to at,123,1,1,0,ff,3,76.98948337,10.4339641486
Waterfalls,water to at,124,0,0,0,ff,3,76.9895147621,10.4341858645
Waterfalls,water to at,125,0,0,0,ff,3,76.9896241887,10.4343839076
Waterfalls,water to at,126,0,0,0,ff,3,76.9898044799,10.4345049835
Waterfalls,water to at,127,1,1,0,ff,3,76.9899246895,10.4343427099
Waterfalls,water to at,128,0,0,0,ff,3,76.9900269439,10.4341519961
Waterfalls,water to at,129,1,1,1,ff,3,76.9901490814,10.4339667415
Waterfalls,water to at,130,1,1,0,ff,3,76.9901905275,10.4337454252
Waterfalls,water to at,131,0,0,0,ff,3,76.9902384876,10.4335289532
Waterfalls,water to at,132,1,1,1,ff,3,76.9902905387,10.4336211419
Waterfalls,water to at,133,1,2,1,ff,3,76.990355856,10.4338322399
Waterfalls,water to at,134,0,0,0,ff,3,76.9904605804,10.4340325406
Waterfalls,water to at,135,0,0,0,ff,3,76.9904872973,10.4342540791
Waterfalls,water to at,136,1,1,1,ff,3,76.9905091024,10.4344789886
Waterfalls,water to at,137,0,0,0,ff,3,76.9905570915,10.4346996897
Waterfalls,water to at,138,1,1,0,ff,3,76.9906003255,10.4349209056
Waterfalls,water to at,139,0,0,0,ff,3,76.9906027702,10.4351351121
Waterfalls,water to at,140,0,0,0,ff,3,76.9903837806,10.4351895221
Waterfalls,water to at,141,0,0,0,ff,3,76.9901580711,10.4352215085
Waterfalls,water to at,142,1,1,0,ff,3,76.9899337796,10.4352629832
Waterfalls,water to at,143,1,2,1,ff,3,76.9897065227,10.4352773681
Waterfalls,water to at,144,1,2,1,ff,3,76.9894793183,10.4352614019
Waterfalls,water to at,145,1,3,2,ff,3,76.9892559925,10.4352178424
Waterfalls,water to at,146,1,2,1,ff,3,76.9890311502,10.4351825918
Waterfalls,water to at,147,1,2,1,ff,3,76.9888040264,10.4351943285
Waterfalls,water to at,148,1,1,0,ff,3,76.9885793043,10.4352321768
Waterfalls,water to at,149,1,1,0,ff,3,76.9883602036,10.4351790791
Waterfalls,water to at,150,0,0,0,ff,3,76.988140922,10.4351601645
Waterfalls,water to at,151,0,0,0,ff,3,76.9880127956,10.4353409748
Waterfalls,water to at,152,0,0,0,ff,3,76.9878559305,10.4354902505
Waterfalls,water to at,153,1,1,0,ff,3,76.9876403094,10.4355643094
Waterfalls,water to at,154,1,2,1,ff,3,76.9874340787,10.4356521674
Waterfalls,water to at,155,0,0,0,ff,3,76.987386959,10.4358652395
Waterfalls,water to at,156,1,1,1,ff,3,76.9873691607,10.4360903479
Waterfalls,water to at,157,0,0,0,ff,3,76.9873226839,10.4363091894
Waterfalls,water to at,158,1,1,0,ff,3,76.9871605782,10.4364564419
Waterfalls,water to at,159,0,0,0,ff,3,76.9869521848,10.4365487049
Waterfalls,water to at,160,1,1,0,ff,3,76.9868105359,10.4367243215
Waterfalls,water to at,161,0,0,0,ff,3,76.9866835166,10.4369109833
Waterfalls,water to at,162,0,0,0,ff,3,76.9865406611,10.4370855557
Waterfalls,water to at,163,1,2,1,ff,3,76.9863373325,10.4371858315
Waterfalls,water to at,164,1,1,1,ff,3,76.9861374296,10.4372949615
Waterfalls,water to at,165,0,0,0,ff,3,76.9859270325,10.4373780015
Waterfalls,water to at,166,1,1,0,ff,3,76.9857061447,10.4373678932
Waterfalls,water to at,167,1,1,1,ff,3,76.9854980973,10.437275405
Waterfalls,water to at,168,0,0,0,ff,3,76.9852802987,10.4372188872
Waterfalls,water to at,169,0,0,0,ff,3,76.9850901149,10.4373204677
Waterfalls,water to at,170,0,0,0,ff,3,76.9849218588,10.4374536571
Waterfalls,water to at,171,0,0,0,ff,3,76.9848517061,10.4375073764
Waterfalls,water to at,172,1,2,1,ff,3,76.985071255,10.437529234
Waterfalls,water to at,173,1,1,1,ff,3,76.9852735703,10.4374300745
Waterfalls,water to at,174,1,1,0,ff,3,76.9854979339,10.4374285811
Waterfalls,water to at,175,1,1,1,ff,3,76.9856779275,10.4375653191
Waterfalls,water to at,176,0,0,0,ff,3,76.985869194,10.4376878565
Waterfalls,water to at,177,1,2,1,ff,3,76.9860904192,10.4377233084
Waterfalls,water to at,178,0,0,0,ff,3,76.9863039564,10.4376547172
Waterfalls,water to at,179,1,1,0,ff,3,76.9865133375,10.4375672195
Waterfalls,water to at,180,1,1,0,ff,3,76.986734105,10.4375098535
Waterfalls,water to at,181,0,0,0,ff,3,76.9869440898,10.4374216826
Waterfalls,water to at,182,1,1,0,ff,3,76.9869762807,10.437501361
Waterfalls,water to at,183,1,1,0,ff,3,76.9867709506,10.4376000077
Waterfalls,water to at,184,1,1,0,ff,3,76.9865612243,10.4376873855
Waterfalls,water to at,185,0,0,0,ff,3,76.9863944699,10.4378397688
Waterfalls,water to at,186,1,1,1,ff,3,76.9862229073,10.4379870036
Waterfalls,water to at,187,1,1,0,ff,3,76.9860046019,10.4380376963
Waterfalls,water to at,188,1,1,0,ff,3,76.9858704919,10.4381368961
Waterfalls,water to at,189,0,0,0,ff,3,76.9860868715,10.4381622043
Waterfalls,water to at,190,1,1,0,ff,3,76.9863082688,10.4381346589
Waterfalls,water to at,191,0,0,0,ff,3,76.9864854626,10.4379927794
Waterfalls,water to at,192,0,0,0,ff,3,76.9866592801,10.4378493902
Waterfalls,water to at,193,1,1,0,ff,3,76.9865563707,10.4379706499
Waterfalls,water to at,194,0,0,0,ff,3,76.9863789421,10.4381104248
Waterfalls,water to at,195,0,0,0,ff,3,76.9861859535,10.4382282854
Waterfalls,water to at,196,1,1,0,ff,3,76.9859891209,10.4383417906
Waterfalls,water to at,197,0,0,0,ff,3,76.9857983503,10.4384640346
Waterfalls,water to at,198,0,0,0,ff,3,76.9855761094,10.4385123473
Waterfalls,water to at,199,0,0,0,ff,3,76.9853501542,10.438543445
Waterfalls,water to at,200,1,1,0,ff,3,76.9851626778,10.4386369833
Waterfalls,water to at,201,0,0,0,ff,3,76.9852055274,10.4388424637
Waterfalls,water to at,202,1,1,0,ff,3,76.9853444438,10.4390216779
Waterfalls,water to at,203,0,0,0,ff,3,76.98540194,10.4392373989
Waterfalls,water to at,204,1,1,1,ff,3,76.9854097324,10.4394621404
Waterfalls,water to at,205,1,1,1,ff,3,76.9854022833,10.4396856131
Waterfalls,water to at,206,1,1,1,ff,3,76.985459709,10.4399041867
Waterfalls,water to at,207,0,0,0,ff,3,76.9855283754,10.4401176505
Waterfalls,water to at,208,1,1,0,ff,3,76.9856083059,10.4403123077
Attakatti - 1 hpb,at to 1 hb,1,1,2,1,ff,3,76.9856741,10.4444926
Attakatti - 1 hpb,at to 1 hb,2,1,1,0,ff,3,76.9857312496,10.4446921197
Attakatti - 1 hpb,at to 1 hb,3,0,0,0,ff,3,76.9858027263,10.4448903121
Attakatti - 1 hpb,at to 1 hb,4,1,1,0,ff,3,76.9857630354,10.4451111468
Attakatti - 1 hpb,at to 1 hb,5,1,1,0,ff,3,76.9856348996,10.4452962038
Attakatti - 1 hpb,at to 1 hb,6,1,1,0,ff,3,76.9855149825,10.4454847325
Attakatti - 1 hpb,at to 1 hb,7,1,2,1,ff,3,76.9854023725,10.4456781858
Attakatti - 1 hpb,at to 1 hb,8,1,1,0,ff,3,76.9852739406,10.4458640734
