"Year","verbatimLocality","Fragment","Point","0-1m","1-2m","2-4m","4-8m","8-16m","16-24m","24-32m","over32m","VertStrata","CanopyHeight","CanopyOpenness","CanopyCover","CanopyOverlap","UC","MC","CC","Altitude","RfShrub","Coffee","Maesopsis","Strobilanthes","TotalShrub","Liana","Cane","Lantana","Bamboo","LeafLitter","CutTrees"
2000,"Tata Finley","Old Valparai",21,1,0,1,1,0,1,1,0,5,32,2,98.00,"NA","NA","NA","NA",1020,"NA","NA","NA","NA",9,"Absent","Absent","NA","Absent",5.5,0
2000,"Tata Finley","Old Valparai",22,1,1,0,1,0,1,1,1,6,43.5,5,95.00,"NA","NA","NA","NA",1015,"NA","NA","NA","NA",11,"Absent","Absent","NA","Absent",4.5,0
2000,"Tata Finley","Old Valparai",23,0,0,1,1,0,1,1,0,4,28.5,0,100.00,"NA","NA","NA","NA",1015,"NA","NA","NA","NA",12,"Absent","Absent","NA","Absent",3,3
2000,"Tata Finley","Old Valparai",24,1,1,1,0,1,1,1,1,7,33,1,99.00,"NA","NA","NA","NA",1015,"NA","NA","NA","NA",14,"Absent","Absent","NA","Absent",2.5,1
2000,"Tata Finley","Old Valparai",25,1,0,1,1,1,0,1,1,6,38,0,100.00,"NA","NA","NA","NA",1020,"NA","NA","NA","NA",18,"Absent","Absent","NA","Absent",5,0
2000,"Varattuparai","Varattuparai 1-3",1,1,1,1,1,1,0,0,0,5,8.5,17,83.00,"NA","NA","NA","NA",1020,"NA","NA","NA","NA",13,"Present","Present","NA","Absent",3.5,1
2000,"Varattuparai","Varattuparai 1-3",2,1,1,1,0,0,0,1,1,5,48.5,3,97.00,"NA","NA","NA","NA",1020,"NA","NA","NA","NA",11,"Present","Present","NA","Absent",3,1
2000,"Varattuparai","Varattuparai 1-3",3,1,1,1,1,1,0,0,0,5,14.5,9,91.00,"NA","NA","NA","NA",1020,"NA","NA","NA","NA",12,"Present","Present","NA","Absent",3,0
2000,"Varattuparai","Varattuparai 1-3",4,1,1,1,1,1,1,1,0,7,25.5,0,100.00,"NA","NA","NA","NA",1020,"NA","NA","NA","NA",16,"Present","Absent","NA","Absent",6,0
2000,"Varattuparai","Varattuparai 1-3",5,1,1,1,1,1,0,0,0,5,14.5,3,97.00,"NA","NA","NA","NA",1030,"NA","NA","NA","NA",10,"Present","Present","NA","Absent",4.5,0
2000,"Varattuparai","Varattuparai 1-3",6,1,1,1,1,0,0,0,0,4,8,3,97.00,"NA","NA","NA","NA",1020,"NA","NA","NA","NA",13,"Present","Present","NA","Absent",6,2
2000,"Varattuparai","Varattuparai 1-3",7,1,1,1,1,1,0,0,0,5,18.5,0,100.00,"NA","NA","NA","NA",1020,"NA","NA","NA","NA",21,"Present","Absent","NA","Absent",4.5,0
2000,"Varattuparai","Varattuparai 1-3",8,1,1,1,1,0,0,0,0,4,7,2,98.00,"NA","NA","NA","NA",1020,"NA","NA","NA","NA",17,"Present","Absent","NA","Absent",3.5,1
2000,"Varattuparai","Varattuparai 1-3",9,1,1,1,1,0,0,0,0,4,7.5,3,97.00,"NA","NA","NA","NA",1015,"NA","NA","NA","NA",12,"Absent","Absent","NA","Absent",4,0
2000,"Varattuparai","Varattuparai 1-3",10,1,1,1,1,1,0,0,0,5,9,3,97.00,"NA","NA","NA","NA",1060,"NA","NA","NA","NA",13,"Present","Present","NA","Absent",3.5,1
2000,"Varattuparai","Varattuparai 1-3",11,1,1,1,0,1,0,0,0,4,9,12,88.00,"NA","NA","NA","NA",1060,"NA","NA","NA","NA",11,"Present","Present","NA","Absent",3,1
2000,"Varattuparai","Varattuparai 1-3",12,1,1,1,1,0,0,0,0,4,7,10,90.00,"NA","NA","NA","NA",1060,"NA","NA","NA","NA",12,"Present","Present","NA","Absent",3,0
2000,"Varattuparai","Varattuparai 1-3",13,1,0,0,0,1,0,0,0,2,15.5,9,91.00,"NA","NA","NA","NA",1060,"NA","NA","NA","NA",16,"Present","Absent","NA","Absent",6,0
2000,"Varattuparai","Varattuparai 1-3",14,1,0,1,1,0,1,0,0,4,19,2,98.00,"NA","NA","NA","NA",1060,"NA","NA","NA","NA",10,"Present","Present","NA","Absent",4.5,0
2000,"Varattuparai","Varattuparai 1-3",15,1,0,0,1,0,0,0,0,2,6,2,98.00,"NA","NA","NA","NA",1060,"NA","NA","NA","NA",13,"Present","Present","NA","Absent",6,2
2000,"Varattuparai","Varattuparai 1-3",16,1,0,1,1,0,0,0,0,3,7,3,97.00,"NA","NA","NA","NA",1060,"NA","NA","NA","NA",21,"Present","Absent","NA","Absent",4.5,0
2000,"Varattuparai","Varattuparai 1-3",17,1,1,1,1,0,0,0,0,4,6,0,100.00,"NA","NA","NA","NA",1010,"NA","NA","NA","NA",17,"Present","Absent","NA","Absent",3.5,1
2000,"Varattuparai","Varattuparai 1-3",18,1,1,1,1,1,1,1,0,7,25,4,96.00,"NA","NA","NA","NA",1000,"NA","NA","NA","NA",12,"Absent","Absent","NA","Absent",4,0
2000,"Varattuparai","Varattuparai 1-3",19,1,1,1,0,1,1,0,0,5,20,3,97.00,"NA","NA","NA","NA",980,"NA","NA","NA","NA",11,"Present","Absent","NA","Absent",3.5,2
2000,"Varattuparai","Varattuparai 1-3",20,1,1,1,1,1,1,1,0,7,26.5,1,99.00,"NA","NA","NA","NA",1010,"NA","NA","NA","NA",9,"Present","Present","NA","Absent",4,1
2000,"Varattuparai","Varattuparai 1-3",21,1,1,1,1,1,1,0,0,6,17.5,0,100.00,"NA","NA","NA","NA",1005,"NA","NA","NA","NA",15,"Absent","Absent","NA","Absent",3.5,0
2000,"Varattuparai","Varattuparai 1-3",22,1,0,0,1,0,0,1,0,3,29,0,100.00,"NA","NA","NA","NA",1005,"NA","NA","NA","NA",9,"Absent","Absent","NA","Absent",3,2
2000,"Varattuparai","Varattuparai 1-3",23,1,0,1,1,1,1,0,0,5,26,1,99.00,"NA","NA","NA","NA",1000,"NA","NA","NA","NA",7,"Present","Absent","NA","Absent",4.5,2
2000,"Varattuparai","Varattuparai 1-3",24,1,0,1,1,1,1,0,0,5,19,0,100.00,"NA","NA","NA","NA",1000,"NA","NA","NA","NA",14,"Absent","Absent","NA","Absent",3,0
2000,"Varattuparai","Varattuparai 1-3",25,1,1,1,1,1,0,0,1,6,41,2,98.00,"NA","NA","NA","NA",1000,"NA","NA","NA","NA",6,"Absent","Present","NA","Absent",2.5,0
2000,"36th Hairpin Bend","Iyerpadi Akkamalai",1,1,1,1,1,1,0,0,0,5,16.5,0,100.00,"NA","NA","NA","NA",1320,"NA","NA","NA","NA",12,"Absent","Absent","NA","Absent",3.5,2
2000,"36th Hairpin Bend","Iyerpadi Akkamalai",2,0,0,1,0,1,1,0,0,3,22,0,100.00,"NA","NA","NA","NA",1235,"NA","NA","NA","NA",7,"Present","Absent","NA","Absent",10.5,2
2000,"36th Hairpin Bend","Iyerpadi Akkamalai",3,1,1,0,0,1,1,0,0,4,28,1,99.00,"NA","NA","NA","NA",1245,"NA","NA","NA","NA",3,"Absent","Absent","NA","Absent",5.5,0
2000,"36th Hairpin Bend","Iyerpadi Akkamalai",4,1,1,1,1,1,1,0,0,6,23,0,100.00,"NA","NA","NA","NA",1300,"NA","NA","NA","NA",11,"Absent","Absent","NA","Absent",6,0
2000,"36th Hairpin Bend","Iyerpadi Akkamalai",5,1,1,1,0,1,1,1,0,6,27,0,100.00,"NA","NA","NA","NA",1310,"NA","NA","NA","NA",12,"Absent","Absent","NA","Absent",5.5,0
2000,"36th Hairpin Bend","Iyerpadi Akkamalai",6,1,1,1,1,0,1,1,1,7,42,0,100.00,"NA","NA","NA","NA",1285,"NA","NA","NA","NA",15,"Absent","Present","NA","Absent",13.5,1
2000,"36th Hairpin Bend","Iyerpadi Akkamalai",7,1,1,1,1,1,1,1,1,8,33,0,100.00,"NA","NA","NA","NA",1305,"NA","NA","NA","NA",15,"Absent","Present","NA","Absent",6.5,0
2000,"36th Hairpin Bend","Iyerpadi Akkamalai",8,1,1,0,1,1,1,0,0,5,18.5,2,98.00,"NA","NA","NA","NA",1305,"NA","NA","NA","NA",12,"Present","Absent","NA","Absent",7,1
2000,"36th Hairpin Bend","Iyerpadi Akkamalai",9,1,1,1,1,1,1,0,0,6,28,0,100.00,"NA","NA","NA","NA",1320,"NA","NA","NA","NA",7,"Present","Present","NA","Absent",5,1
2000,"36th Hairpin Bend","Iyerpadi Akkamalai",10,1,1,1,1,1,1,1,1,8,37,2,98.00,"NA","NA","NA","NA",1320,"NA","NA","NA","NA",9,"Present","Absent","NA","Present",10,0
2000,"Iyerpadi","Iyerpadi Akkamalai",1,1,1,1,1,1,1,1,0,7,28,0,100.00,"NA","NA","NA","NA",1320,"NA","NA","NA","NA",9,"Absent","Present","NA","Absent",10,0
2000,"Iyerpadi","Iyerpadi Akkamalai",2,1,1,0,1,0,1,0,0,4,21,2,98.00,"NA","NA","NA","NA",1315,"NA","NA","NA","NA",13,"Present","Present","NA","Absent",6.5,0
2000,"Iyerpadi","Iyerpadi Akkamalai",3,1,1,1,1,1,1,0,0,6,24,0,100.00,"NA","NA","NA","NA",1320,"NA","NA","NA","NA",10,"Present","Present","NA","Absent",7.5,0
2000,"Iyerpadi","Iyerpadi Akkamalai",4,1,1,1,0,1,1,1,0,6,28.5,0,100.00,"NA","NA","NA","NA",1320,"NA","NA","NA","NA",9,"Present","Present","NA","Absent",9.5,0
2000,"Iyerpadi","Iyerpadi Akkamalai",5,1,1,1,1,0,1,1,0,6,25.5,0,100.00,"NA","NA","NA","NA",1320,"NA","NA","NA","NA",8,"Present","Present","NA","Absent",5,1
2000,"Iyerpadi","Iyerpadi Akkamalai",6,1,1,0,1,0,0,0,0,3,15,3,97.00,"NA","NA","NA","NA",1315,"NA","NA","NA","NA",7,"Present","Absent","NA","Absent",4.5,0
2000,"Iyerpadi","Iyerpadi Akkamalai",7,1,0,0,1,0,1,1,0,4,20,0,100.00,"NA","NA","NA","NA",1310,"NA","NA","NA","NA",6,"Absent","Absent","NA","Absent",6,0
2000,"Iyerpadi","Iyerpadi Akkamalai",8,1,0,1,1,1,0,0,0,4,31,0,100.00,"NA","NA","NA","NA",1300,"NA","NA","NA","NA",7,"Absent","Absent","NA","Absent",13,0
2000,"Iyerpadi","Iyerpadi Akkamalai",9,0,1,1,1,0,1,1,1,6,31,0,100.00,"NA","NA","NA","NA",1300,"NA","NA","NA","NA",8,"Absent","Absent","NA","Absent",6,0
2000,"Iyerpadi","Iyerpadi Akkamalai",10,1,1,1,1,0,0,0,0,4,22,2,98.00,"NA","NA","NA","NA",1310,"NA","NA","NA","NA",15,"Absent","Absent","NA","Absent",5.5,0
2000,"Akkamalai","Iyerpadi Akkamalai",1,1,1,1,1,1,1,0,0,6,20,2,98.00,"NA","NA","NA","NA",1600,"NA","NA","NA","NA",11,"Present","Absent","NA","Absent",6,1
2000,"Akkamalai","Iyerpadi Akkamalai",2,0,0,0,1,1,1,0,0,3,17.5,7,93.00,"NA","NA","NA","NA",1600,"NA","NA","NA","NA",12,"Present","Absent","NA","Absent",6.5,0
2000,"Akkamalai","Iyerpadi Akkamalai",3,1,1,1,1,1,1,0,0,6,17.5,6,94.00,"NA","NA","NA","NA",1620,"NA","NA","NA","NA",11,"Absent","Absent","NA","Absent",8,1
2000,"Akkamalai","Iyerpadi Akkamalai",4,1,0,0,0,1,0,0,0,2,15.5,9,91.00,"NA","NA","NA","NA",1640,"NA","NA","NA","NA",12,"Absent","Absent","NA","Absent",5.5,1
2000,"Akkamalai","Iyerpadi Akkamalai",5,1,1,0,1,1,1,0,0,5,23,9,91.00,"NA","NA","NA","NA",1640,"NA","NA","NA","NA",19,"Present","Absent","NA","Absent",8,1
2000,"Akkamalai","Iyerpadi Akkamalai",6,1,0,0,1,1,0,0,0,3,11,8,92.00,"NA","NA","NA","NA",1640,"NA","NA","NA","NA",9,"Absent","Absent","NA","Absent",5.5,1
2000,"Akkamalai","Iyerpadi Akkamalai",7,1,1,0,1,1,0,0,0,4,15,3,97.00,"NA","NA","NA","NA",1590,"NA","NA","NA","NA",9,"Present","Absent","NA","Absent",3.5,0
2000,"Akkamalai","Iyerpadi Akkamalai",8,1,1,1,1,1,0,0,0,5,12.5,4,96.00,"NA","NA","NA","NA",1580,"NA","NA","NA","NA",5,"Present","Present","NA","Absent",5.5,2
2000,"Akkamalai","Iyerpadi Akkamalai",9,1,1,0,1,1,0,0,0,4,14,6,94.00,"NA","NA","NA","NA",1560,"NA","NA","NA","NA",8,"Absent","Present","NA","Absent",7,0
2000,"Akkamalai","Iyerpadi Akkamalai",10,1,1,0,1,1,0,0,0,4,12.5,3,97.00,"NA","NA","NA","NA",1560,"NA","NA","NA","NA",15,"Absent","Absent","NA","Absent",4.5,1
2000,"Manamboli","Manamboli",1,1,1,0,0,1,1,0,0,4,20.5,7,93.00,"NA","NA","NA","NA",780,"NA","NA","NA","NA",12,"Present","Present","NA","Absent",4,0
2000,"Manamboli","Manamboli",2,1,0,0,1,1,1,0,0,4,23,10,90.00,"NA","NA","NA","NA",770,"NA","NA","NA","NA",6,"Absent","Present","NA","Absent",7.5,0
2000,"Manamboli","Manamboli",3,1,1,0,0,0,1,0,0,3,13.5,38,62.00,"NA","NA","NA","NA",770,"NA","NA","NA","NA",11,"Present","Present","NA","Absent",5.5,3
2000,"Manamboli","Manamboli",4,1,0,0,1,1,1,1,0,5,28,2,98.00,"NA","NA","NA","NA",760,"NA","NA","NA","NA",14,"Absent","Present","NA","Absent",8.5,0
2000,"Manamboli","Manamboli",5,1,0,0,0,1,0,1,0,3,26,2,98.00,"NA","NA","NA","NA",780,"NA","NA","NA","NA",15,"Absent","Absent","NA","Absent",4.5,0
2000,"Manamboli","Manamboli",6,1,1,1,0,0,1,0,0,4,19,3,97.00,"NA","NA","NA","NA",800,"NA","NA","NA","NA",17,"Absent","Absent","NA","Absent",7,2
2000,"Manamboli","Manamboli",7,1,1,1,1,1,1,1,0,7,31,2,98.00,"NA","NA","NA","NA",780,"NA","NA","NA","NA",6,"Present","Absent","NA","Absent",4,0
2000,"Manamboli","Manamboli",8,0,0,0,1,1,0,1,1,4,32,1,99.00,"NA","NA","NA","NA",780,"NA","NA","NA","NA",9,"Present","Absent","NA","Absent",3.5,0
2000,"Manamboli","Manamboli",9,0,1,1,0,1,1,0,0,4,20.5,1,99.00,"NA","NA","NA","NA",810,"NA","NA","NA","NA",8,"Present","Present","NA","Absent",3.5,0
2000,"Manamboli","Manamboli",10,1,1,1,1,1,1,0,0,6,20.5,3,97.00,"NA","NA","NA","NA",820,"NA","NA","NA","NA",25,"Present","Absent","NA","Absent",6,0
2000,"Manamboli","Manamboli",11,1,0,0,1,1,1,0,0,4,22,3,97.00,"NA","NA","NA","NA",810,"NA","NA","NA","NA",11,"Present","Absent","NA","Absent",7.5,0
2000,"Manamboli","Manamboli",12,1,1,0,0,0,0,1,1,4,23,4,96.00,"NA","NA","NA","NA",810,"NA","NA","NA","NA",5,"Present","Absent","NA","Absent",3,0
2000,"Manamboli","Manamboli",13,1,1,1,1,1,1,1,0,7,28,5,95.00,"NA","NA","NA","NA",810,"NA","NA","NA","NA",18,"Present","Absent","NA","Absent",5,0
2000,"Manamboli","Manamboli",14,1,1,1,1,1,0,0,0,5,15,2,98.00,"NA","NA","NA","NA",815,"NA","NA","NA","NA",20,"Absent","Absent","NA","Absent",15,0
2000,"Manamboli","Manamboli",15,1,1,0,0,1,0,0,0,3,15,6,94.00,"NA","NA","NA","NA",815,"NA","NA","NA","NA",15,"Present","Absent","NA","Absent",6,0
2000,"Manamboli","Manamboli",16,1,1,1,1,1,1,0,0,6,23,3,97.00,"NA","NA","NA","NA",815,"NA","NA","NA","NA",13,"Present","Absent","NA","Absent",8.5,0
2000,"Manamboli","Manamboli",17,1,1,0,0,1,1,0,0,4,24,7,93.00,"NA","NA","NA","NA",810,"NA","NA","NA","NA",8,"Present","Absent","NA","Absent",11,1
2000,"Manamboli","Manamboli",18,1,1,1,0,1,1,1,1,7,32,3,97.00,"NA","NA","NA","NA",810,"NA","NA","NA","NA",5,"Absent","Absent","NA","Absent",4.5,1
2000,"Manamboli","Manamboli",19,1,1,1,1,1,0,1,1,7,31,6,94.00,"NA","NA","NA","NA",810,"NA","NA","NA","NA",13,"Present","Absent","NA","Absent",9,1
2000,"Manamboli","Manamboli",20,1,1,1,0,1,1,1,1,7,32,2,98.00,"NA","NA","NA","NA",800,"NA","NA","NA","NA",20,"Absent","Present","NA","Absent",6.5,0
2000,"Manamboli","Manamboli",21,1,1,1,1,1,1,1,0,7,25,3,97.00,"NA","NA","NA","NA",810,"NA","NA","NA","NA",12,"Absent","Present","NA","Absent",1.5,0
2000,"Manamboli","Manamboli",22,1,1,0,0,1,1,1,1,6,31,3,97.00,"NA","NA","NA","NA",810,"NA","NA","NA","NA",8,"Absent","Absent","NA","Present",12,0
2000,"Manamboli","Manamboli",23,1,1,0,1,1,1,1,0,6,28,3,97.00,"NA","NA","NA","NA",910,"NA","NA","NA","NA",7,"Present","Absent","NA","Present",9,1
2000,"Manamboli","Manamboli",24,1,1,1,1,1,1,0,0,6,23.5,1,99.00,"NA","NA","NA","NA",910,"NA","NA","NA","NA",9,"Present","Absent","NA","Absent",7.5,2
2000,"Manamboli","Manamboli",25,1,1,0,1,0,0,1,0,4,27,6,94.00,"NA","NA","NA","NA",920,"NA","NA","NA","NA",4,"Present","Absent","NA","Absent",6,2
2000,"Selaliparai-1","Selaliparai 1",1,1,1,0,1,1,1,0,0,5,18.5,37,63.00,"NA","NA","NA","NA",1060,"NA","NA","NA","NA",11,"Present","Present","NA","Absent",6.5,0
2000,"Selaliparai-1","Selaliparai 1",2,1,0,0,1,1,0,0,0,3,11.5,42,58.00,"NA","NA","NA","NA",1060,"NA","NA","NA","NA",7,"Present","Present","NA","Absent",6,0
2000,"Selaliparai-1","Selaliparai 1",3,1,1,1,1,0,0,0,0,4,13,17,83.00,"NA","NA","NA","NA",1060,"NA","NA","NA","NA",10,"Present","Present","NA","Absent",3.5,2
2000,"Selaliparai-1","Selaliparai 1",4,1,0,0,1,1,0,0,0,3,15,21,79.00,"NA","NA","NA","NA",1050,"NA","NA","NA","NA",11,"Present","Absent","NA","Absent",5.5,1
2000,"Selaliparai-1","Selaliparai 1",5,1,1,0,0,0,1,1,0,4,27,11,89.00,"NA","NA","NA","NA",1040,"NA","NA","NA","NA",5,"Present","Present","NA","Absent",6.5,0
