"Year","verbatimLocality","Fragment","Point_name","pointID","Tree_no","verbatimIdentification","scientificName","nativeAlien","kingdom","phylum","Distance_eff","Girth_eff","locationRemarks","SpCode","TreeHeight","identificationRemarks","occurrenceRemarks"
2000,"Puduthottam","Puthuthottam","PUPCQ10","2000_PUPCQ10","T3","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",6.86,62.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ10","2000_PUPCQ10","T4","Maesa indica","Maesa indica","Native","Plantae","Tracheophyta",1.60,58.0,"PTTM","MAESA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ11","2000_PUPCQ11","T1","Maesa indica","Maesa indica","Native","Plantae","Tracheophyta",7.53,33.0,"PTTM","MAESA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ11","2000_PUPCQ11","T2","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",2.33,64.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ11","2000_PUPCQ11","T3","Syzygium hemisphericum","Syzygium hemisphericum","Native","Plantae","Tracheophyta",7.82,40.0,"PTTM","SYHE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ11","2000_PUPCQ11","T4","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",4.34,38.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ12","2000_PUPCQ12","T1","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",2.20,60.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ12","2000_PUPCQ12","T2","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",8.97,52.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ12","2000_PUPCQ12","T3","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",2.32,62.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ12","2000_PUPCQ12","T4","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",3.05,42.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ13","2000_PUPCQ13","T1","Maesa indica","Maesa indica","Native","Plantae","Tracheophyta",2.62,37.0,"PTTM","MAESA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ13","2000_PUPCQ13","T2","Maesa indica","Maesa indica","Native","Plantae","Tracheophyta",1.80,33.0,"PTTM","MAESA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ13","2000_PUPCQ13","T3","Maesa indica","Maesa indica","Native","Plantae","Tracheophyta",5.31,43.0,"PTTM","MAESA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ13","2000_PUPCQ13","T4","Mesua ferrea","Mesua ferrea","Native","Plantae","Tracheophyta",7.22,470.0,"PTTM","MEFE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ14","2000_PUPCQ14","T1","Cullenia exarillata","Cullenia exarillata","Native","Plantae","Tracheophyta",4.67,178.0,"PTTM","CUEX","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ14","2000_PUPCQ14","T2","Myristica dactyloides","Myristica beddomei","Native","Plantae","Tracheophyta",4.30,231.0,"PTTM","MYDA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ14","2000_PUPCQ14","T3","Artocarpus heterophyllus","Artocarpus heterophyllus","Native","Plantae","Tracheophyta",8.72,206.0,"PTTM","ARHE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ14","2000_PUPCQ14","T4","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",4.84,42.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ15","2000_PUPCQ15","T1","Maesa indica","Maesa indica","Native","Plantae","Tracheophyta",4.08,31.0,"PTTM","MAESA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ15","2000_PUPCQ15","T2","Clerodendrum infortunatum","Clerodendrum infortunatum","Native","Plantae","Tracheophyta",4.75,43.0,"PTTM","CLVI","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ15","2000_PUPCQ15","T3","Myristica dactyloides","Myristica beddomei","Native","Plantae","Tracheophyta",1.20,121.0,"PTTM","MYDA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ15","2000_PUPCQ15","T4","Clerodendrum infortunatum","Clerodendrum infortunatum","Native","Plantae","Tracheophyta",3.10,34.0,"PTTM","CLVI","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ16","2000_PUPCQ16","T1","Clerodendrum infortunatum","Clerodendrum infortunatum","Native","Plantae","Tracheophyta",6.05,35.0,"PTTM","CLVI","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ16","2000_PUPCQ16","T2","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",5.10,39.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ16","2000_PUPCQ16","T3","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",8.55,48.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ16","2000_PUPCQ16","T4","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",3.60,80.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ17","2000_PUPCQ17","T1","Mesua ferrea","Mesua ferrea","Native","Plantae","Tracheophyta",9.69,311.0,"PTTM","MEFE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ17","2000_PUPCQ17","T2","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",4.67,68.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ17","2000_PUPCQ17","T3","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",3.50,48.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ17","2000_PUPCQ17","T4","Artocarpus heterophyllus","Artocarpus heterophyllus","Native","Plantae","Tracheophyta",1.70,229.0,"PTTM","ARHE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ18","2000_PUPCQ18","T1","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",6.06,43.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ18","2000_PUPCQ18","T2","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",1.50,65.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ18","2000_PUPCQ18","T3","Mallotus tetracoccus","Mallotus tetracoccus","Native","Plantae","Tracheophyta",3.75,31.0,"PTTM","MATE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ18","2000_PUPCQ18","T4","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",7.78,125.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ19","2000_PUPCQ19","T1","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",8.05,64.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ19","2000_PUPCQ19","T2","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",5.23,39.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ19","2000_PUPCQ19","T3","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",3.15,68.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ19","2000_PUPCQ19","T4","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",6.24,58.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ20","2000_PUPCQ20","T1","Mesua ferrea","Mesua ferrea","Native","Plantae","Tracheophyta",13.95,155.0,"PTTM","MEFE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ20","2000_PUPCQ20","T2","Cullenia exarillata","Cullenia exarillata","Native","Plantae","Tracheophyta",9.10,482.0,"PTTM","CUEX","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ20","2000_PUPCQ20","T3","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",5.77,53.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ20","2000_PUPCQ20","T4","Dysoxylum malabaricum","Dysoxylum malabaricum","Native","Plantae","Tracheophyta",9.05,79.0,"PTTM","DYMA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ21","2000_PUPCQ21","T1","Mesua ferrea","Mesua ferrea","Native","Plantae","Tracheophyta",9.27,402.0,"PTTM","MEFE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ21","2000_PUPCQ21","T2","Clerodendrum infortunatum","Clerodendrum infortunatum","Native","Plantae","Tracheophyta",7.10,36.0,"PTTM","CLVI","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ21","2000_PUPCQ21","T3","Spathodea campanulata","Spathodea campanulata","Alien","Plantae","Tracheophyta",7.77,72.0,"PTTM","SPCA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ21","2000_PUPCQ21","T4","Maesa indica","Maesa indica","Native","Plantae","Tracheophyta",4.98,34.0,"PTTM","MAESA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ22","2000_PUPCQ22","T1","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",14.00,40.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ22","2000_PUPCQ22","T2","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",10.00,61.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ22","2000_PUPCQ22","T3","Clerodendrum infortunatum","Clerodendrum infortunatum","Native","Plantae","Tracheophyta",7.16,32.0,"PTTM","CLVI","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ22","2000_PUPCQ22","T4","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",5.20,79.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ23","2000_PUPCQ23","T1","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",3.16,56.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ23","2000_PUPCQ23","T2","Myristica dactyloides","Myristica beddomei","Native","Plantae","Tracheophyta",3.25,165.0,"PTTM","MYDA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ23","2000_PUPCQ23","T3","Antidesma menasu","Antidesma montanum","Native","Plantae","Tracheophyta",2.80,46.0,"PTTM","ANME","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ23","2000_PUPCQ23","T4","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",4.20,36.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ24","2000_PUPCQ24","T1","Bhesa indica","Bhesa indica","Native","Plantae","Tracheophyta",5.40,281.0,"PTTM","BHIN","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ24","2000_PUPCQ24","T2","Maesa indica","Maesa indica","Native","Plantae","Tracheophyta",5.65,35.0,"PTTM","MAESA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ24","2000_PUPCQ24","T3","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",5.33,95.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ24","2000_PUPCQ24","T4","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",5.30,36.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ25","2000_PUPCQ25","T1","Cinnamomum sulphuratum","Cinnamomum sulphuratum","Native","Plantae","Tracheophyta",4.20,184.0,"PTTM","CISU","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ25","2000_PUPCQ25","T2","Croton sp","Croton","Native","Plantae","Tracheophyta",5.10,230.0,"PTTM","CRSP","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ25","2000_PUPCQ25","T3","Nothopegia racemosa","Nothopegia castaneifolia","Native","Plantae","Tracheophyta",13.40,95.0,"PTTM","NORA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ25","2000_PUPCQ25","T4","Dimocarpus longan","Dimocarpus longan","Native","Plantae","Tracheophyta",11.80,197.0,"PTTM","DILO","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ1","2000_MAPCQ1","T1","Mesua ferrea","Mesua ferrea","Native","Plantae","Tracheophyta",4.20,208.0,"MNBL","MEFE","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ1","2000_MAPCQ1","T2","Dimocarpus longan","Dimocarpus longan","Native","Plantae","Tracheophyta",5.55,147.5,"MNBL","DILO","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ1","2000_MAPCQ1","T3","Palaqium ellipticum","Palaquium ellipticum","Native","Plantae","Tracheophyta",4.50,198.0,"MNBL","PAEL","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ1","2000_MAPCQ1","T4","Calophyllum polyanthum","Calophyllum polyanthum","Native","Plantae","Tracheophyta",3.35,122.0,"MNBL","CAPO","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ2","2000_MAPCQ2","T1","Garcinia morella","Garcinia morella","Native","Plantae","Tracheophyta",2.75,76.0,"MNBL","GAMO","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ2","2000_MAPCQ2","T2","Dimocarpus longan","Dimocarpus longan","Native","Plantae","Tracheophyta",5.85,267.0,"MNBL","DILO","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ2","2000_MAPCQ2","T3","Garcinia morella","Garcinia morella","Native","Plantae","Tracheophyta",2.70,90.0,"MNBL","GAMO","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ2","2000_MAPCQ2","T4","Cullenia exarillata","Cullenia exarillata","Native","Plantae","Tracheophyta",3.25,108.0,"MNBL","CUEX","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ3","2000_MAPCQ3","T1","Polyalthia fragrans","Polyalthia fragrans","Native","Plantae","Tracheophyta",4.15,143.0,"MNBL","POFR","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ3","2000_MAPCQ3","T2","Cinnamomum malabathrum","Cinnamomum malabathrum","Native","Plantae","Tracheophyta",3.70,42.0,"MNBL","CIMA","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ3","2000_MAPCQ3","T3","Croton malabaricum","Croton malabaricus","Native","Plantae","Tracheophyta",3.65,41.5,"MNBL","CRMA","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ3","2000_MAPCQ3","T4","Paracroton pendula","Paracroton pendulus","Native","Plantae","Tracheophyta",6.75,127.5,"MNBL","FAZE","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ4","2000_MAPCQ4","T1","Aglaia indica","Aglaia edulis","Native","Plantae","Tracheophyta",4.30,77.0,"MNBL","AGIN","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ4","2000_MAPCQ4","T2","Aglaia indica","Aglaia edulis","Native","Plantae","Tracheophyta",4.40,78.0,"MNBL","AGIN","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ4","2000_MAPCQ4","T3","Alstonia scholaris","Alstonia scholaris","Native","Plantae","Tracheophyta",4.95,150.0,"MNBL","ALSC","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ4","2000_MAPCQ4","T4","Alstonia scholaris","Alstonia scholaris","Native","Plantae","Tracheophyta",10.90,465.0,"MNBL","ALSC","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ5","2000_MAPCQ5","T1","Aglaia indica","Aglaia edulis","Native","Plantae","Tracheophyta",3.62,45.0,"MNBL","AGIN","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ5","2000_MAPCQ5","T2","Alstonia scholaris","Alstonia scholaris","Native","Plantae","Tracheophyta",2.70,155.0,"MNBL","ALSC","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ5","2000_MAPCQ5","T3","Maytenus rothiana","Gymnosporia wightiana","Native","Plantae","Tracheophyta",3.80,136.5,"MNBL","MARO","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ5","2000_MAPCQ5","T4","Aglaia indica","Aglaia edulis","Native","Plantae","Tracheophyta",3.15,139.0,"MNBL","AGIN","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ6","2000_MAPCQ6","T1","Clerodendrum infortunatum","Clerodendrum infortunatum","Native","Plantae","Tracheophyta",2.80,72.0,"MNBL","CLVI","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ6","2000_MAPCQ6","T2","Clerodendrum infortunatum","Clerodendrum infortunatum","Native","Plantae","Tracheophyta",3.15,57.0,"MNBL","CLVI","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ6","2000_MAPCQ6","T3","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",3.55,150.8,"MNBL","MAPE","NA","NA","Stem_girths_cm=121, 90"
2000,"Manamboly","Manamboli","MAPCQ6","2000_MAPCQ6","T4","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",4.75,135.0,"MNBL","MAPE","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ7","2000_MAPCQ7","T1","Mesua ferrea","Mesua ferrea","Native","Plantae","Tracheophyta",2.80,173.0,"MNBL","MEFE","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ7","2000_MAPCQ7","T2","Villebrunea integrifolia","Oreocnide integrifolia","Native","Plantae","Tracheophyta",3.35,33.0,"MNBL","VIIN","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ7","2000_MAPCQ7","T3","Paracroton pendula","Paracroton pendulus","Native","Plantae","Tracheophyta",7.55,85.5,"MNBL","FAZE","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ7","2000_MAPCQ7","T4","Paracroton pendula","Paracroton pendulus","Native","Plantae","Tracheophyta",9.50,143.0,"MNBL","FAZE","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ8","2000_MAPCQ8","T1","Diospyros sylvatica","Diospyros sylvatica","Native","Plantae","Tracheophyta",2.45,77.0,"MNBL","DISY","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ8","2000_MAPCQ8","T2","Myristica dactyloides","Myristica beddomei","Native","Plantae","Tracheophyta",4.10,183.5,"MNBL","MYDA","NA","NA","NA"
2000,"Manamboly","Manamboli","MAPCQ8","2000_MAPCQ8","T3","Croton malabaricum","Croton malabaricus","Native","Plantae","Tracheophyta",1.60,45.0,"MNBL","CRMA","NA","NA","NA"
