work_id,eventDate,work_code,work_label,village,latitude,longitude,persondays,households_engaged,event_type,gps_accuracy_m
VIL-01-nursery_raising-2020,2020-01-10,nursery_raising,Nursery raising,Thonimalai Village,10.2988,76.93629,1381,79,mgnrega_work,60
VIL-01-check_dam-2020,2020-10-10,check_dam,Check dam construction,Thonimalai Village,10.30782,76.94515,353,59,mgnrega_work,60
VIL-02-water_body_desilting-2020,2020-07-10,water_body_desilting,Water body desilting,Perumpallam Village,10.33923,76.97903,1401,146,mgnrega_work,60
VIL-02-footpath_repair-2020,2020-05-10,footpath_repair,Footpath repair,Perumpallam Village,10.33859,76.97779,486,31,mgnrega_work,60
VIL-02-nursery_raising-2020,2020-11-10,nursery_raising,Nursery raising,Perumpallam Village,10.33387,76.97872,1230,149,mgnrega_work,60
VIL-02-check_dam-2020,2020-09-10,check_dam,Check dam construction,Perumpallam Village,10.33905,76.9766,465,24,mgnrega_work,60
VIL-03-water_body_desilting-2020,2020-12-10,water_body_desilting,Water body desilting,Kadamparai Village,10.26393,76.96909,1376,78,mgnrega_work,60
VIL-03-footpath_repair-2020,2020-01-10,footpath_repair,Footpath repair,Kadamparai Village,10.25367,76.96819,354,46,mgnrega_work,60
VIL-03-nursery_raising-2020,2020-08-10,nursery_raising,Nursery raising,Kadamparai Village,10.26194,76.96804,951,156,mgnrega_work,60
VIL-03-check_dam-2020,2020-08-10,check_dam,Check dam construction,Kadamparai Village,10.25722,76.96531,680,37,mgnrega_work,60
VIL-01-water_body_desilting-2021,2021-09-10,water_body_desilting,Water body desilting,Thonimalai Village,10.29397,76.93992,1210,141,mgnrega_work,60
VIL-01-footpath_repair-2021,2021-02-10,footpath_repair,Footpath repair,Thonimalai Village,10.30604,76.93526,696,72,mgnrega_work,60
VIL-01-nursery_raising-2021,2021-12-10,nursery_raising,Nursery raising,Thonimalai Village,10.3029,76.93887,652,117,mgnrega_work,60
VIL-01-check_dam-2021,2021-08-10,check_dam,Check dam construction,Thonimalai Village,10.30707,76.9361,337,31,mgnrega_work,60
VIL-02-water_body_desilting-2021,2021-11-10,water_body_desilting,Water body desilting,Perumpallam Village,10.33728,76.96874,1443,57,mgnrega_work,60
VIL-02-footpath_repair-2021,2021-05-10,footpath_repair,Footpath repair,Perumpallam Village,10.33742,76.97859,859,54,mgnrega_work,60
VIL-02-nursery_raising-2021,2021-08-10,nursery_raising,Nursery raising,Perumpallam Village,10.32797,76.9718,205,45,mgnrega_work,60
VIL-02-check_dam-2021,2021-11-10,check_dam,Check dam construction,Perumpallam Village,10.33483,76.97884,625,93,mgnrega_work,60
VIL-03-water_body_desilting-2021,2021-08-10,water_body_desilting,Water body desilting,Kadamparai Village,10.26046,76.9599,1131,160,mgnrega_work,60
VIL-03-footpath_repair-2021,2021-05-10,footpath_repair,Footpath repair,Kadamparai Village,10.26865,76.97298,588,24,mgnrega_work,60
VIL-03-nursery_raising-2021,2021-08-10,nursery_raising,Nursery raising,Kadamparai Village,10.25422,76.96611,773,135,mgnrega_work,60
VIL-03-check_dam-2021,2021-07-10,check_dam,Check dam construction,Kadamparai Village,10.25636,76.97313,730,73,mgnrega_work,60
VIL-01-water_body_desilting-2022,2022-10-10,water_body_desilting,Water body desilting,Thonimalai Village,10.29394,76.94346,332,87,mgnrega_work,60
VIL-01-footpath_repair-2022,2022-03-10,footpath_repair,Footpath repair,Thonimalai Village,10.30215,76.94161,916,91,mgnrega_work,60
VIL-01-nursery_raising-2022,2022-12-10,nursery_raising,Nursery raising,Thonimalai Village,10.29834,76.93947,410,144,mgnrega_work,60
VIL-01-check_dam-2022,2022-01-10,check_dam,Check dam construction,Thonimalai Village,10.29505,76.9467,987,135,mgnrega_work,60
VIL-02-water_body_desilting-2022,2022-05-10,water_body_desilting,Water body desilting,Perumpallam Village,10.33863,76.97416,1010,116,mgnrega_work,60
VIL-02-footpath_repair-2022,2022-02-10,footpath_repair,Footpath repair,Perumpallam Village,10.34044,76.96753,827,106,mgnrega_work,60
VIL-02-nursery_raising-2022,2022-02-10,nursery_raising,Nursery raising,Perumpallam Village,10.34204,76.97063,995,23,mgnrega_work,60
VIL-02-check_dam-2022,2022-05-10,check_dam,Check dam construction,Perumpallam Village,10.33296,76.97379,773,39,mgnrega_work,60
VIL-03-water_body_desilting-2022,2022-07-10,water_body_desilting,Water body desilting,Kadamparai Village,10.26509,76.97167,918,91,mgnrega_work,60
VIL-03-footpath_repair-2022,2022-01-10,footpath_repair,Footpath repair,Kadamparai Village,10.26635,76.96257,388,58,mgnrega_work,60
VIL-03-nursery_raising-2022,2022-05-10,nursery_raising,Nursery raising,Kadamparai Village,10.25998,76.96305,690,115,mgnrega_work,60
VIL-03-check_dam-2022,2022-01-10,check_dam,Check dam construction,Kadamparai Village,10.26599,76.96809,1056,160,mgnrega_work,60
VIL-01-water_body_desilting-2023,2023-12-10,water_body_desilting,Water body desilting,Thonimalai Village,10.29379,76.94644,596,125,mgnrega_work,60
VIL-01-footpath_repair-2023,2023-10-10,footpath_repair,Footpath repair,Thonimalai Village,10.30454,76.94181,1103,93,mgnrega_work,60
VIL-01-nursery_raising-2023,2023-01-10,nursery_raising,Nursery raising,Thonimalai Village,10.30709,76.9403,1174,63,mgnrega_work,60
VIL-01-check_dam-2023,2023-07-10,check_dam,Check dam construction,Thonimalai Village,10.298,76.93626,1147,86,mgnrega_work,60
VIL-02-water_body_desilting-2023,2023-11-10,water_body_desilting,Water body desilting,Perumpallam Village,10.33082,76.97523,1011,120,mgnrega_work,60
VIL-02-footpath_repair-2023,2023-03-10,footpath_repair,Footpath repair,Perumpallam Village,10.33729,76.9687,425,148,mgnrega_work,60
VIL-02-nursery_raising-2023,2023-09-10,nursery_raising,Nursery raising,Perumpallam Village,10.33052,76.982,1198,135,mgnrega_work,60
VIL-02-check_dam-2023,2023-03-10,check_dam,Check dam construction,Perumpallam Village,10.33576,76.97141,1055,64,mgnrega_work,60
VIL-03-water_body_desilting-2023,2023-09-10,water_body_desilting,Water body desilting,Kadamparai Village,10.25446,76.96183,880,86,mgnrega_work,60
VIL-03-footpath_repair-2023,2023-04-10,footpath_repair,Footpath repair,Kadamparai Village,10.2672,76.96999,1346,125,mgnrega_work,60
VIL-03-nursery_raising-2023,2023-07-10,nursery_raising,Nursery raising,Kadamparai Village,10.26493,76.96136,964,89,mgnrega_work,60
VIL-03-check_dam-2023,2023-01-10,check_dam,Check dam construction,Kadamparai Village,10.26097,76.96719,872,112,mgnrega_work,60
VIL-01-water_body_desilting-2024,2024-11-10,water_body_desilting,Water body desilting,Thonimalai Village,10.30055,76.94157,437,75,mgnrega_work,60
VIL-01-footpath_repair-2024,2024-05-10,footpath_repair,Footpath repair,Thonimalai Village,10.30685,76.93765,369,134,mgnrega_work,60
VIL-01-nursery_raising-2024,2024-05-10,nursery_raising,Nursery raising,Thonimalai Village,10.30608,76.94547,1064,25,mgnrega_work,60
VIL-01-check_dam-2024,2024-01-10,check_dam,Check dam construction,Thonimalai Village,10.2993,76.94372,440,141,mgnrega_work,60
VIL-02-water_body_desilting-2024,2024-08-10,water_body_desilting,Water body desilting,Perumpallam Village,10.327,76.97376,1382,155,mgnrega_work,60
VIL-02-footpath_repair-2024,2024-08-10,footpath_repair,Footpath repair,Perumpallam Village,10.33098,76.96924,1138,59,mgnrega_work,60
VIL-02-nursery_raising-2024,2024-09-10,nursery_raising,Nursery raising,Perumpallam Village,10.34255,76.96924,491,137,mgnrega_work,60
VIL-02-check_dam-2024,2024-09-10,check_dam,Check dam construction,Perumpallam Village,10.33943,76.96752,354,52,mgnrega_work,60
VIL-03-water_body_desilting-2024,2024-10-10,water_body_desilting,Water body desilting,Kadamparai Village,10.26772,76.96833,656,97,mgnrega_work,60
VIL-03-footpath_repair-2024,2024-11-10,footpath_repair,Footpath repair,Kadamparai Village,10.25703,76.96818,442,48,mgnrega_work,60
VIL-03-nursery_raising-2024,2024-02-10,nursery_raising,Nursery raising,Kadamparai Village,10.25781,76.9731,383,69,mgnrega_work,60
VIL-03-check_dam-2024,2024-05-10,check_dam,Check dam construction,Kadamparai Village,10.25658,76.96762,974,22,mgnrega_work,60
